,idx,ex_num,bar_num,g_num,RE,true
1,19,84,10,1,136.185185185185,0
2,17,84,5,2,0.25,3
3,7,84,5,4,0.0,2
4,18,84,9,5,0.0,1
5,20,84,6,1,17.99999999999998,3
6,15,84,6,2,0.5555555555555564,1
7,12,84,9,4,0.5,2
8,5,84,3,3,0.0,2
9,3,84,6,4,0.0,3
10,6,84,9,5,0.555555555555554,3
11,9,84,8,6,0.0,2
12,13,84,6,1,160.40000000000003,2
13,8,84,10,9,0.0,2
14,4,84,9,2,201.57142857142864,2
15,14,84,4,4,0.0,3
16,11,84,8,3,4.25,2
17,1,84,7,3,27.222222222222214,2
18,16,84,6,2,27.22222222222223,2
19,2,84,8,5,0.0,1
20,10,84,4,4,0.0,3
